City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,75.54,overcast clouds,-33.0153,27.9116,Premier Hotel Regent
2,Rikitea,PF,77.99,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
3,Mataura,NZ,81.32,clear sky,-46.1927,168.8643,
4,Punta Arenas,CL,60.12,clear sky,-53.15,-70.9167,Ainil
5,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Muyuyo Galápagos
6,Port Elizabeth,ZA,74.1,overcast clouds,-33.918,25.5701,Newtondale
7,Hithadhoo,MV,81.64,clear sky,-0.6,73.0833,Pebbles Inn
8,Atuona,PF,78.64,light rain,-9.8,-139.0333,Pearl Resort
9,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le Baril
11,Bluff,NZ,65.73,broken clouds,-46.6,168.3333,
15,Miri,MY,82.53,scattered clouds,4.4148,114.0089,Imperial Hotel Miri
17,Port-Gentil,GA,81.43,overcast clouds,-0.7193,8.7815,Hôtel L'Hirondelle
18,Hermanus,ZA,67.8,few clouds,-34.4187,19.2345,Abalone Guest Lodge
19,Ushuaia,AR,56.86,few clouds,-54.8,-68.3,Arakur
20,Koumac,NC,81.93,broken clouds,-20.5667,164.2833,Karem Bay
22,Envira,BR,71.55,overcast clouds,-7.3,-70.2167,
24,Hilo,US,76.73,moderate rain,19.7297,-155.09,Dolphin Bay Hotel
27,Pisco,PE,71.65,overcast clouds,-13.7,-76.2167,Gran Hotel Chincha
28,Lagoa,PT,55.6,clear sky,39.05,-27.9833,Hotel Ilha Graciosa
29,Esperance,AU,69.57,overcast clouds,-33.8667,121.9,Hospitality
31,Luanda,AO,77.0,overcast clouds,-8.8368,13.2343,Hotel Presidente Luanda
32,New Norfolk,AU,63.9,few clouds,-42.7826,147.0587,Rosie's Inn
33,Busselton,AU,77.61,clear sky,-33.65,115.3333,
35,Guerrero Negro,MX,57.99,overcast clouds,27.9769,-114.0611,Cabanas Malarrimo
36,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Codrington,AU,62.98,scattered clouds,-38.2667,141.9667,
39,Mayumba,GA,77.92,overcast clouds,-3.432,10.6554,Mbidia Koukou
40,Cravo Norte,CO,80.38,broken clouds,6.3017,-70.2041,
42,Ramjibanpur,IN,57.72,clear sky,22.8333,87.6167,
43,Manzanillo,CU,69.58,clear sky,20.3433,-77.1167,Hotel Guacanayabo
46,Alyangula,AU,82.2,overcast clouds,-13.8483,136.4192,
50,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Hibiscus
51,Kasempa,ZM,61.54,overcast clouds,-13.4584,25.8338,Kasmpa Council Guest House
56,Karpathos,GR,62.56,scattered clouds,35.507,27.2132,Seven Stars hotel
57,Bredasdorp,ZA,67.32,clear sky,-34.5322,20.0403,Victoria Hotel
58,Qui Nhon,VN,70.93,overcast clouds,13.7667,109.2333,Thanh Linh 2
64,Wawa,NG,75.45,clear sky,9.9022,4.4192,
66,Wajir,KE,72.41,overcast clouds,1.7471,40.0573,Al- Amin lodge
67,Kalmunai,LK,75.42,few clouds,7.4167,81.8167,Sakkaryya Hotel and Restaurant
69,Port Alfred,ZA,72.18,overcast clouds,-33.5906,26.891,Ferryman
71,Kruisfontein,ZA,71.89,broken clouds,-34.0033,24.7314,
72,Buenos Aires,AR,79.95,clear sky,-34.6132,-58.3772,Hotel Hilton Buenos Aires
