City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,East London,ZA,-33.0153,27.9116,75.54,80,100,4.25,overcast clouds,2023-01-19 02:15:58
1,Barrow,US,71.2906,-156.7887,-2.18,78,100,19.57,light snow,2023-01-19 02:14:42
2,Rikitea,PF,-23.1203,-134.9692,77.99,69,100,1.25,overcast clouds,2023-01-19 02:15:58
3,Mataura,NZ,-46.1927,168.8643,81.32,30,7,3.44,clear sky,2023-01-19 02:15:59
4,Punta Arenas,CL,-53.15,-70.9167,60.12,76,0,9.22,clear sky,2023-01-19 02:11:14
5,Puerto Ayora,EC,-0.7393,-90.3518,75.54,94,53,5.32,broken clouds,2023-01-19 02:15:59
6,Port Elizabeth,ZA,-33.918,25.5701,74.1,95,96,3.0,overcast clouds,2023-01-19 02:15:59
7,Hithadhoo,MV,-0.6,73.0833,81.64,73,9,9.06,clear sky,2023-01-19 02:16:00
8,Atuona,PF,-9.8,-139.0333,78.64,77,51,19.3,light rain,2023-01-19 02:15:23
9,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,96,12.37,light rain,2023-01-19 02:16:00
10,Nakusp,CA,50.2499,-117.8023,37.47,100,98,1.14,overcast clouds,2023-01-19 02:16:00
11,Bluff,NZ,-46.6,168.3333,65.73,66,68,10.65,broken clouds,2023-01-19 02:16:01
12,Torbay,CA,47.6666,-52.7314,39.58,94,100,5.75,moderate rain,2023-01-19 02:16:01
13,Dukat,RU,62.55,155.55,-34.15,97,100,5.57,overcast clouds,2023-01-19 02:16:02
14,Goldap,PL,54.3063,22.3036,32.23,94,81,10.85,broken clouds,2023-01-19 02:16:02
15,Miri,MY,4.4148,114.0089,82.53,73,49,2.3,scattered clouds,2023-01-19 02:13:46
16,Port Hardy,CA,50.6996,-127.4199,39.38,93,75,5.75,broken clouds,2023-01-19 02:15:19
17,Port-Gentil,GA,-0.7193,8.7815,81.43,76,94,8.88,overcast clouds,2023-01-19 02:16:03
18,Hermanus,ZA,-34.4187,19.2345,67.8,92,12,7.72,few clouds,2023-01-19 02:16:03
19,Ushuaia,AR,-54.8,-68.3,56.86,58,20,19.57,few clouds,2023-01-19 02:16:03
20,Koumac,NC,-20.5667,164.2833,81.93,62,65,12.35,broken clouds,2023-01-19 02:16:04
21,Gongzhuling,CN,43.5008,124.8198,17.06,53,54,7.47,broken clouds,2023-01-19 02:16:04
22,Envira,BR,-7.3,-70.2167,71.55,99,100,2.53,overcast clouds,2023-01-19 02:16:04
23,Templin,DE,53.1186,13.5022,29.17,84,24,7.25,few clouds,2023-01-19 02:16:05
24,Hilo,US,19.7297,-155.09,76.73,88,100,13.8,moderate rain,2023-01-19 02:16:05
25,Bethel,US,41.3712,-73.414,45.01,70,100,5.01,overcast clouds,2023-01-19 02:16:06
26,Albany,US,42.6001,-73.9662,40.64,82,100,5.99,overcast clouds,2023-01-19 02:13:58
27,Pisco,PE,-13.7,-76.2167,71.65,83,100,1.14,overcast clouds,2023-01-19 02:15:49
28,Lagoa,PT,39.05,-27.9833,55.6,70,0,4.85,clear sky,2023-01-19 02:16:06
29,Esperance,AU,-33.8667,121.9,69.57,48,100,11.25,overcast clouds,2023-01-19 02:16:07
30,Hasaki,JP,35.7333,140.8333,46.22,57,89,14.83,overcast clouds,2023-01-19 02:16:07
31,Luanda,AO,-8.8368,13.2343,77.0,88,100,8.05,overcast clouds,2023-01-19 02:16:07
32,New Norfolk,AU,-42.7826,147.0587,63.9,45,18,3.0,few clouds,2023-01-19 02:16:08
33,Busselton,AU,-33.65,115.3333,77.61,40,0,8.75,clear sky,2023-01-19 02:16:08
34,Yar-Sale,RU,66.8333,70.8333,2.08,97,100,4.03,overcast clouds,2023-01-19 02:16:09
35,Guerrero Negro,MX,27.9769,-114.0611,57.99,59,98,9.48,overcast clouds,2023-01-19 02:16:09
36,Kapaa,US,22.0752,-159.319,80.92,80,100,9.22,overcast clouds,2023-01-19 02:16:09
37,Carnarvon,AU,-24.8667,113.6333,88.29,50,1,10.92,clear sky,2023-01-19 02:16:10
38,Codrington,AU,-38.2667,141.9667,62.98,45,30,16.35,scattered clouds,2023-01-19 02:16:10
39,Mayumba,GA,-3.432,10.6554,77.92,85,100,6.35,overcast clouds,2023-01-19 02:16:10
40,Cravo Norte,CO,6.3017,-70.2041,80.38,44,52,5.44,broken clouds,2023-01-19 02:16:11
41,Sinegorskiy,RU,48.0139,40.8447,31.69,90,95,11.48,overcast clouds,2023-01-19 02:16:11
42,Ramjibanpur,IN,22.8333,87.6167,57.72,53,0,6.06,clear sky,2023-01-19 02:16:12
43,Manzanillo,CU,20.3433,-77.1167,69.58,70,5,7.07,clear sky,2023-01-19 02:15:15
44,Saint-Francois,FR,46.4154,3.9054,29.64,86,100,4.61,mist,2023-01-19 02:13:25
45,Timizart,DZ,36.8,4.2667,41.49,86,100,3.29,moderate rain,2023-01-19 02:16:12
46,Alyangula,AU,-13.8483,136.4192,82.2,75,96,13.71,overcast clouds,2023-01-19 02:16:13
47,Qaanaaq,GL,77.484,-69.3632,-20.2,97,100,5.82,overcast clouds,2023-01-19 02:16:13
48,Thompson,CA,55.7435,-97.8558,14.16,92,100,5.75,overcast clouds,2023-01-19 02:13:43
